TEAM_NAME,GP,W,L,W_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,POSS,PIE,SEASON,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
Atlanta Hawks,82,25,57,0.5,96.9,102.4,-5.5,0.61,1.14,14.9,0.312,0.688,0.5,0.161,0.473,0.518,93.63,7695.0,0.452,2000-01,0.0,0.0,0.443,0.0,0.0,0.352,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston Celtics,82,36,46,0.5,100.1,102.3,-2.2,0.61,1.33,16.2,0.312,0.688,0.5,0.161,0.473,0.518,93.81,7748.0,0.468,2000-01,0.0,0.0,0.443,0.0,0.0,0.352,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlotte Hornets,82,46,36,0.5,99.7,97.6,2.1,0.61,1.61,17.8,0.312,0.688,0.5,0.161,0.473,0.518,91.24,7565.0,0.527,2000-01,0.0,0.0,0.443,0.0,0.0,0.352,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicago Bulls,82,15,67,0.5,95.9,105.9,-10.0,0.61,1.4,17.4,0.312,0.688,0.5,0.161,0.473,0.518,90.47,7486.0,0.432,2000-01,0.0,0.0,0.443,0.0,0.0,0.352,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland Cavaliers,82,30,52,0.5,99.3,103.5,-4.2,0.61,1.27,16.2,0.312,0.688,0.5,0.161,0.473,0.518,92.32,7613.0,0.469,2000-01,0.0,0.0,0.443,0.0,0.0,0.352,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dallas Mavericks,82,53,29,0.5,105.6,101.2,4.4,0.61,1.52,16.5,0.312,0.688,0.5,0.161,0.473,0.518,94.52,7803.0,0.523,2000-01,0.0,0.0,0.443,0.0,0.0,0.352,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denver Nuggets,82,40,42,0.5,102.2,104.9,-2.8,0.61,1.73,18.0,0.312,0.688,0.5,0.161,0.473,0.518,93.98,7751.0,0.48,2000-01,0.0,0.0,0.443,0.0,0.0,0.352,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Detroit Pistons,82,32,50,0.5,98.5,100.3,-1.8,0.61,1.25,14.9,0.312,0.688,0.5,0.161,0.473,0.518,96.15,7955.0,0.48,2000-01,0.0,0.0,0.443,0.0,0.0,0.352,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden State Warriors,82,17,65,0.5,96.3,105.5,-9.2,0.61,1.37,15.9,0.312,0.688,0.5,0.161,0.473,0.518,95.7,7879.0,0.427,2000-01,0.0,0.0,0.443,0.0,0.0,0.352,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Houston Rockets,82,45,37,0.5,105.2,102.8,2.4,0.61,1.34,15.7,0.312,0.688,0.5,0.161,0.473,0.518,91.66,7575.0,0.509,2000-01,0.0,0.0,0.443,0.0,0.0,0.352,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana Pacers,82,41,41,0.5,100.3,100.5,-0.2,0.61,1.42,16.9,0.312,0.688,0.5,0.161,0.473,0.518,90.89,7566.0,0.51,2000-01,0.0,0.0,0.443,0.0,0.0,0.352,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
