TEAM_NAME,GP,W,L,W_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,POSS,PIE,SEASON
Atlanta Hawks,82,25,57,0.305,96.9,102.4,-5.5,0.542,1.14,14.9,0.313,0.691,0.501,0.178,0.456,0.5,93.63,7695,0.452,2000-01
Boston Celtics,82,36,46,0.439,100.1,102.3,-2.2,0.616,1.33,16.2,0.28,0.69,0.478,0.166,0.473,0.521,93.81,7748,0.468,2000-01
Charlotte Hornets,82,46,36,0.561,99.7,97.6,2.1,0.679,1.61,17.8,0.315,0.71,0.513,0.156,0.457,0.506,91.24,7565,0.527,2000-01
Chicago Bulls,82,15,67,0.183,95.9,105.9,-10.0,0.665,1.4,17.4,0.302,0.673,0.48,0.173,0.45,0.495,90.47,7486,0.432,2000-01
Cleveland Cavaliers,82,30,52,0.366,99.3,103.5,-4.2,0.591,1.27,16.2,0.331,0.678,0.505,0.177,0.459,0.509,92.32,7613,0.469,2000-01
Dallas Mavericks,82,53,29,0.646,105.6,101.2,4.4,0.564,1.52,16.5,0.272,0.678,0.481,0.146,0.498,0.544,94.52,7803,0.523,2000-01
Denver Nuggets,82,40,42,0.488,102.2,104.9,-2.8,0.661,1.73,18.0,0.306,0.69,0.497,0.147,0.47,0.511,93.98,7751,0.48,2000-01
Detroit Pistons,82,32,50,0.39,98.5,100.3,-1.8,0.558,1.25,14.9,0.325,0.691,0.505,0.164,0.453,0.498,96.15,7955,0.48,2000-01
Golden State Warriors,82,17,65,0.207,96.3,105.5,-9.2,0.609,1.37,15.9,0.357,0.68,0.504,0.165,0.429,0.47,95.7,7879,0.427,2000-01
Houston Rockets,82,45,37,0.549,105.2,102.8,2.4,0.548,1.34,15.7,0.305,0.691,0.502,0.159,0.492,0.538,91.66,7575,0.509,2000-01
Indiana Pacers,82,41,41,0.5,100.3,100.5,-0.2,0.623,1.42,16.9,0.297,0.685,0.497,0.164,0.471,0.519,90.89,7566,0.51,2000-01
Los Angeles Clippers,82,31,51,0.378,100.3,103.2,-2.9,0.547,1.23,15.3,0.322,0.682,0.506,0.171,0.476,0.514,90.67,7559,0.476,2000-01
Los Angeles Lakers,82,56,26,0.683,107.0,103.6,3.5,0.607,1.59,17.4,0.338,0.691,0.517,0.154,0.498,0.535,92.9,7710,0.532,2000-01
Miami Heat,82,50,32,0.61,99.4,97.1,2.3,0.605,1.45,16.4,0.28,0.7,0.49,0.153,0.469,0.515,88.39,7331,0.523,2000-01
Milwaukee Bucks,82,52,30,0.634,106.8,102.6,4.2,0.593,1.64,17.2,0.301,0.683,0.494,0.145,0.499,0.542,93.89,7733,0.519,2000-01
Minnesota Timberwolves,82,47,35,0.573,103.9,102.4,1.6,0.662,1.83,19.0,0.315,0.682,0.498,0.148,0.482,0.523,92.99,7679,0.518,2000-01
New Jersey Nets,82,26,56,0.317,98.4,103.8,-5.4,0.576,1.33,15.4,0.292,0.673,0.477,0.157,0.452,0.504,93.35,7674,0.446,2000-01
New York Knicks,82,48,34,0.585,100.0,97.0,3.0,0.552,1.28,15.6,0.276,0.707,0.498,0.163,0.476,0.523,87.74,7276,0.52,2000-01
Orlando Magic,82,43,39,0.524,102.1,101.1,1.0,0.598,1.45,16.6,0.321,0.662,0.489,0.159,0.474,0.513,94.14,7828,0.495,2000-01
Philadelphia 76ers,82,56,26,0.683,101.9,97.3,4.6,0.583,1.31,16.0,0.334,0.704,0.523,0.17,0.468,0.518,92.09,7619,0.536,2000-01
Phoenix Suns,82,51,31,0.622,98.9,96.7,2.3,0.647,1.52,17.5,0.305,0.702,0.5,0.161,0.46,0.506,94.41,7792,0.521,2000-01
Portland Trail Blazers,82,50,32,0.61,104.7,100.5,4.2,0.653,1.56,18.6,0.333,0.7,0.522,0.168,0.497,0.539,90.53,7475,0.544,2000-01
Sacramento Kings,82,55,27,0.671,104.2,98.5,5.7,0.591,1.52,16.8,0.307,0.679,0.497,0.152,0.484,0.529,95.61,8010,0.54,2000-01
San Antonio Spurs,82,58,24,0.707,105.0,96.6,8.3,0.617,1.55,17.2,0.297,0.703,0.511,0.152,0.496,0.541,90.87,7514,0.573,2000-01
Seattle SuperSonics,82,44,38,0.537,104.4,104.2,0.2,0.592,1.43,16.9,0.321,0.668,0.496,0.164,0.491,0.53,92.69,7643,0.494,2000-01
Toronto Raptors,82,47,35,0.573,104.4,102.0,2.3,0.657,1.86,18.2,0.339,0.7,0.515,0.141,0.468,0.51,92.22,7671,0.522,2000-01
Utah Jazz,82,53,29,0.646,106.1,100.9,5.2,0.713,1.63,19.6,0.332,0.701,0.519,0.173,0.497,0.546,91.08,7503,0.548,2000-01
Vancouver Grizzlies,82,23,59,0.28,98.2,104.2,-6.0,0.662,1.47,17.9,0.293,0.675,0.484,0.168,0.464,0.51,93.03,7662,0.465,2000-01
Washington Wizards,82,19,63,0.232,99.4,106.2,-6.8,0.581,1.18,15.6,0.328,0.684,0.502,0.181,0.46,0.514,93.97,7695,0.453,2000-01
Atlanta Hawks,82,33,49,0.402,100.4,104.8,-4.4,0.57,1.3,15.8,0.297,0.689,0.491,0.166,0.471,0.517,93.21,7678,0.465,2001-02
Boston Celtics,82,49,33,0.598,102.1,99.9,2.2,0.604,1.55,16.4,0.272,0.695,0.481,0.144,0.476,0.52,93.6,7738,0.5,2001-02
Charlotte Hornets,82,44,38,0.537,102.9,101.8,1.2,0.608,1.53,16.7,0.333,0.689,0.511,0.154,0.466,0.513,90.93,7480,0.513,2001-02
