TEAM_NAME,GP,W,L,W_PCT,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,SEASON,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,POSS,PIE
Atlanta Hawks,82,25,57,0.305,2876,6668,0.431,333,933,0.357,1374,1811,0.759,1028,2490,3518,1559,1368.0,634,387,513,1863,7,7459,-427.0,2000-01,96.9,102.4,-5.5,0.542,1.14,14.9,0.313,0.691,0.501,0.178,0.456,0.5,93.63,7695,0.452
Atlanta Hawks,82,33,49,0.402,2901,6610,0.439,423,1194,0.354,1486,1942,0.765,955,2445,3400,1655,1274.0,666,349,508,1702,9,7711,-347.0,2001-02,100.4,104.8,-4.4,0.57,1.3,15.8,0.297,0.689,0.491,0.166,0.471,0.517,93.21,7678,0.465
Atlanta Hawks,82,35,47,0.427,2859,6434,0.444,402,1141,0.352,1594,2011,0.793,937,2558,3495,1679,1367.0,611,473,409,1783,8,7714,-292.0,2002-03,100.4,104.2,-3.8,0.587,1.23,16.0,0.3,0.681,0.499,0.178,0.476,0.527,92.63,7683,0.483
Atlanta Hawks,82,28,54,0.341,2829,6529,0.433,419,1249,0.335,1534,1976,0.776,996,2507,3503,1648,1350.0,627,408,416,1826,3,7611,-381.0,2003-04,99.1,103.9,-4.8,0.583,1.22,15.7,0.308,0.686,0.5,0.176,0.465,0.514,92.68,7680,0.466
Atlanta Hawks,82,13,69,0.159,2942,6672,0.441,304,973,0.312,1417,1994,0.711,1100,2335,3435,1614,1319.0,629,344,484,2009,1,7605,-796.0,2004-05,98.8,109.0,-10.2,0.549,1.22,15.3,0.326,0.696,0.502,0.171,0.464,0.504,93.09,7695,0.422
Atlanta Hawks,82,26,56,0.317,2946,6496,0.454,424,1154,0.367,1656,2207,0.75,1069,2232,3301,1625,1284.0,587,394,422,2054,1855,7972,-390.0,2005-06,104.8,110.1,-5.3,0.552,1.27,15.5,0.334,0.667,0.496,0.169,0.486,0.534,91.75,7607,0.462
Atlanta Hawks,82,30,52,0.366,2831,6372,0.444,341,1038,0.329,1677,2203,0.761,976,2312,3288,1573,1306.0,609,446,421,1970,1853,7680,-390.0,2006-07,102.0,107.0,-5.1,0.556,1.2,15.3,0.328,0.676,0.499,0.173,0.471,0.523,90.98,7533,0.466
Atlanta Hawks,82,37,45,0.451,2975,6552,0.454,384,1078,0.356,1720,2227,0.772,1008,2454,3462,1804,1223.0,600,448,421,1673,1793,8054,-149.0,2007-08,105.5,107.3,-1.8,0.606,1.48,17.0,0.329,0.682,0.506,0.16,0.483,0.535,92.35,7634,0.498
Atlanta Hawks,82,47,35,0.573,2956,6451,0.458,597,1633,0.366,1537,2085,0.737,870,2412,3282,1657,1048.0,603,376,354,1610,1681,8046,129.0,2008-09,108.3,106.7,1.7,0.561,1.58,16.4,0.295,0.682,0.49,0.141,0.504,0.546,90.44,7428,0.507
Atlanta Hawks,82,53,29,0.646,3181,6801,0.468,524,1455,0.36,1452,1914,0.759,969,2451,3420,1789,980.0,592,413,359,1632,1582,8338,382.0,2009-10,111.0,106.0,4.9,0.562,1.83,17.1,0.32,0.685,0.502,0.13,0.506,0.545,90.77,7515,0.523
Atlanta Hawks,82,44,38,0.537,2971,6429,0.462,502,1427,0.352,1346,1728,0.779,762,2460,3222,1802,1118.0,497,341,348,1554,1517,7790,-67.0,2010-11,105.1,105.8,-0.7,0.607,1.61,17.7,0.274,0.71,0.494,0.151,0.501,0.542,90.22,7410,0.493
Atlanta Hawks,66,40,26,0.606,2429,5348,0.454,492,1330,0.37,1025,1385,0.74,652,2066,2718,1481,921.0,536,303,313,1178,1263,6375,227.0,2011-12,104.2,100.4,3.8,0.61,1.61,17.6,0.279,0.703,0.493,0.151,0.5,0.535,90.88,6117,0.526
Atlanta Hawks,82,44,38,0.537,3084,6644,0.464,706,1901,0.371,1158,1619,0.715,758,2593,3351,2007,1219.0,664,369,350,1473,1543,8032,33.0,2012-13,103.7,103.4,0.3,0.651,1.65,18.8,0.254,0.701,0.482,0.157,0.517,0.546,93.56,7744,0.509
Atlanta Hawks,82,38,44,0.463,3061,6688,0.458,768,2116,0.363,1392,1782,0.781,713,2565,3278,2041,1251.0,680,326,354,1577,1643,8282,-39.0,2013-14,104.9,105.7,-0.7,0.667,1.63,18.8,0.256,0.711,0.485,0.159,0.515,0.554,95.41,7892,0.502
Atlanta Hawks,82,60,22,0.732,3121,6699,0.466,818,2152,0.38,1349,1735,0.778,715,2611,3326,2111,1167.0,744,380,404,1457,1611,8409,445.0,2014-15,108.2,102.3,5.9,0.676,1.81,19.5,0.264,0.697,0.487,0.15,0.527,0.563,94.66,7775,0.54
Atlanta Hawks,82,48,34,0.585,3168,6923,0.458,815,2326,0.35,1282,1638,0.783,679,2772,3451,2100,1226.0,747,486,411,1570,1500,8433,296.0,2015-16,104.6,100.8,3.9,0.663,1.71,19.0,0.234,0.698,0.474,0.152,0.516,0.552,97.63,8059,0.528
Atlanta Hawks,82,43,39,0.524,3123,6918,0.451,729,2137,0.341,1484,2039,0.728,842,2793,3635,1938,1294.0,672,397,424,1491,1768,8459,-70.0,2016-17,104.5,105.2,-0.7,0.621,1.5,17.4,0.282,0.717,0.502,0.16,0.504,0.541,97.76,8091,0.506
Atlanta Hawks,82,24,58,0.293,3130,7015,0.446,917,2544,0.36,1298,1654,0.785,743,2693,3436,1946,1274.0,638,348,453,1606,1661,8475,-447.0,2017-18,104.4,110.1,-5.7,0.622,1.53,17.6,0.263,0.719,0.489,0.157,0.512,0.547,98.76,8114,0.468
Atlanta Hawks,82,29,53,0.354,3392,7524,0.451,1067,3034,0.352,1443,1918,0.752,955,2825,3780,2118,1397.0,675,419,448,1932,1817,9294,-494.0,2018-19,107.5,113.1,-5.5,0.624,1.52,17.7,0.284,0.718,0.496,0.162,0.522,0.555,104.56,8642,0.464
Atlanta Hawks,72,22,50,0.306,2852,6416,0.445,849,2554,0.332,1322,1680,0.787,709,2374,3083,1676,1175.0,571,374,442,1669,1514,7875,-541.0,2019-20,106.0,113.1,-7.0,0.588,1.43,16.6,0.268,0.706,0.484,0.158,0.511,0.55,103.27,7427,0.454
Atlanta Hawks,72,41,31,0.569,2937,6281,0.468,895,2402,0.373,1417,1745,0.812,760,2525,3285,1737,953.0,503,342,363,1392,1422,8186,167.0,2020-21,114.3,112.1,2.2,0.591,1.82,17.6,0.284,0.742,0.516,0.133,0.539,0.581,98.68,7160,0.511
Atlanta Hawks,87,45,42,0.517,3569,7606,0.469,1103,2970,0.371,1536,1894,0.811,869,2925,3794,2126,1051.0,618,369,381,1634,1758,9777,104.0,2021-22,114.8,113.5,1.3,0.596,2.02,18.1,0.27,0.727,0.5,0.123,0.542,0.579,98.71,8517,0.508
Atlanta Hawks,87,43,44,0.494,3811,7951,0.479,917,2624,0.349,1583,1939,0.816,966,2839,3805,2135,1122.0,620,422,445,1654,1706,10122,-6.0,2022-23,114.7,114.9,-0.2,0.56,1.9,17.5,0.29,0.712,0.498,0.127,0.537,0.575,101.48,8824,0.498
Atlanta Hawks,87,39,48,0.448,3689,7975,0.463,1186,3293,0.36,1591,2002,0.795,1099,2779,3878,2280,1193.0,642,397,494,1630,1690,10155,-192.0,2023-24,115.9,118.0,-2.0,0.618,1.91,18.3,0.314,0.719,0.507,0.136,0.537,0.573,100.86,8759,0.482
Atlanta Hawks,87,40,47,0.46,3696,7885,0.469,1174,3291,0.357,1556,2024,0.769,1028,2818,3846,2519,1366.0,839,447,428,1678,1673,10122,-115.0,2024-25,113.0,114.2,-1.2,0.682,1.84,19.7,0.301,0.712,0.503,0.152,0.543,0.577,103.47,8961,0.496
Boston Celtics,82,36,46,0.439,2773,6485,0.428,592,1633,0.363,1621,2190,0.74,897,2367,3264,1708,1285.0,769,336,440,1952,3,7759,-175.0,2000-01,100.1,102.3,-2.2,0.616,1.33,16.2,0.28,0.69,0.478,0.166,0.473,0.521,93.81,7748,0.468
Boston Celtics,82,49,33,0.598,2852,6731,0.424,699,1946,0.359,1498,1960,0.764,891,2570,3461,1722,1114.0,793,292,476,1776,3,7901,181.0,2001-02,102.1,99.9,2.2,0.604,1.55,16.4,0.272,0.695,0.481,0.144,0.476,0.52,93.6,7738,0.5
