TEAM_NAME,GP,W,L,W_PCT,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,SEASON
Atlanta Hawks,82,25,57,0.305,2876,6668,0.431,333,933,0.357,1374,1811,0.759,1028,2490,3518,1559,1368.0,634,387,513,1863,7,7459,-427.0,2000-01
Boston Celtics,82,36,46,0.439,2773,6485,0.428,592,1633,0.363,1621,2190,0.74,897,2367,3264,1708,1285.0,769,336,440,1952,3,7759,-175.0,2000-01
Charlotte Hornets,82,46,36,0.561,2800,6501,0.431,340,984,0.346,1599,2146,0.745,1033,2608,3641,1900,1183.0,665,455,375,1753,5,7539,172.0,2000-01
Chicago Bulls,82,15,67,0.183,2721,6411,0.424,329,950,0.346,1410,1909,0.739,926,2260,3186,1810,1292.0,675,379,426,1902,3,7181,-746.0,2000-01
Cleveland Cavaliers,82,30,52,0.366,2890,6532,0.442,220,659,0.334,1561,2040,0.765,1015,2440,3455,1708,1350.0,642,436,542,1904,8,7561,-348.0,2000-01
Dallas Mavericks,82,53,29,0.646,3085,6716,0.459,517,1357,0.381,1552,1954,0.794,831,2571,3402,1740,1141.0,618,492,379,1907,9,8239,351.0,2000-01
Denver Nuggets,82,40,42,0.488,2979,6877,0.433,512,1444,0.355,1448,1964,0.737,1044,2583,3627,1970,1136.0,552,538,497,1820,3,7918,-202.0,2000-01
Detroit Pistons,82,32,50,0.39,2919,6880,0.424,389,1112,0.35,1610,2233,0.721,1108,2626,3734,1629,1304.0,613,447,397,1955,7,7837,-139.0,2000-01
Golden State Warriors,82,17,65,0.207,2937,7175,0.409,282,964,0.293,1428,2024,0.706,1345,2385,3730,1788,1301.0,742,410,493,1727,6,7584,-742.0,2000-01
Houston Rockets,82,45,37,0.549,2943,6494,0.453,504,1412,0.357,1582,2086,0.758,919,2524,3443,1613,1204.0,587,358,400,1657,3,7972,188.0,2000-01
Indiana Pacers,82,41,41,0.5,2828,6431,0.44,396,1159,0.342,1539,2009,0.766,921,2595,3516,1763,1244.0,563,487,387,1926,8,7591,-16.0,2000-01
Los Angeles Clippers,82,31,51,0.378,2896,6467,0.448,360,1063,0.339,1429,2061,0.693,962,2559,3521,1585,1293.0,490,513,412,1775,2,7581,-237.0,2000-01
Los Angeles Lakers,82,56,26,0.683,3109,6685,0.465,439,1275,0.344,1594,2333,0.683,1085,2583,3668,1888,1184.0,564,490,324,1872,7,8251,277.0,2000-01
Miami Heat,82,50,32,0.61,2694,6258,0.43,478,1384,0.345,1423,1874,0.759,813,2435,3248,1630,1122.0,633,304,424,1726,5,7289,188.0,2000-01
